PID, Name, samples, min_elapsed (ms), max_elapsed (ms), total_elapsed (s), std_dev elapsed, avg_elapsed (s), freq (Hz), number of values, min, max, total, avg
0x0020,ACC,1694,214,532,625.392,53.2694112000962,0.36918063754427394,2.7087011026684062,3,"[-204, -204, -204]","[94, 168, 74]","[-82069, -46419, -152142]","[-48.446871310507674, -27.402007083825264, -89.81227863046045]"
0x0021,GYRO,1694,214,532,625.392,53.2694112000962,0.36918063754427394,2.7087011026684062,3,"[-74, -26, -51]","[76, 24, 45]","[-82, -146, 687]","[-0.048406139315230225, -0.08618654073199528, 0.40554899645808734]"
0x0023,MEMS_TEMP,1694,214,532,625.392,53.2694112000962,0.36918063754427394,2.7087011026684062,1,[-1872],[-1360],[-2833936],[-1672.9256198347107]
0x0104,ENGINE_LOAD,637,740,3299,617.282,118.52321082009679,0.9690455259026688,1.0319432609407044,1,[0],[100],[19568],[30.718995290423862]
0x0105,COOLANT_TEMP,39,15306,17822,590.238,386.81803362270244,15.134307692307694,0.06607504091569841,1,[82],[97],[3463],[88.7948717948718]
0x0111,THROTTLE,637,738,3305,617.264,119.29429505189712,0.9690172684458399,1.0319733533787812,1,[0],[100],[18112],[28.433281004709578]
0x010c,RPM,636,737,4265,617.241,150.1717143413086,0.970504716981132,1.030391694654114,1,[25],[6275],[1548872],[2435.3333333333335]
0x000a,GPS_LATITUDE,3186,97,501,625.753,34.90839837056233,0.19640709353421218,5.091465802001748,1,[3839880],[3841033],[12236018371],[3840558.1829880727]
0x000b,GPS_LONGITUDE,3186,97,501,625.753,34.90839837056233,0.19640709353421218,5.091465802001748,1,[-10530055],[-10526470],[-33542024716],[-10527942.472065285]
0x000c,GPS_ALTITUDE,3186,97,501,625.753,34.90839837056233,0.19640709353421218,5.091465802001748,1,[1739],[1948],[5804298],[1821.8135593220338]
0x000d,GPS_SPEED,3186,97,501,625.753,34.90839837056233,0.19640709353421218,5.091465802001748,1,[0],[122],[88915],[27.908035153797865]
0x0110,MAF_FLOW,160,3702,6103,617.244,200.78139452480772,3.857775,0.2592167765097757,1,[0],[107],[4799],[29.99375]
0x010d,SPEED,638,730,3305,618.235,118.48499529142889,0.9690203761755486,1.0319700437535888,1,[0],[134],[20312],[31.836990595611287]
0x0010,GPS_TIME,3186,97,501,625.753,34.90839837056233,0.19640709353421218,5.091465802001748,1,[19210880],[19313440],[61366722780],[19261369.359698683]
0x0011,GPS_DATE,3186,97,501,625.753,34.90839837056233,0.19640709353421218,5.091465802001748,1,[19210880],[19313440],[61366722780],[19261369.359698683]
0x010e,TIMING_ADVANCE,159,3695,6095,613.335,199.56373635058887,3.8574528301886795,0.2592384259825381,1,[1],[48],[3128],[19.67295597484277]
0x010b,INTAKE_PRESSURE,159,3723,6101,613.37,201.2204968466825,3.857672955974843,0.2592236333697442,1,[14],[76],[6009],[37.79245283018868]
0x0024,BATTERY_VOLTAGE,40,15311,17733,605.638,366.01463273221185,15.14095,0.06604605391339381,1,[-1],[146],[5619],[140.475]
